username,password,role,poolId,sectorId,amount,anonymous
donor@viyom.com,donor123,ROLE_DONOR,1,1,500,false
testuser1@viyom.com,Test@123,ROLE_DONOR,2,2,250,false
testuser2@viyom.com,Test@123,ROLE_DONOR,3,3,750,true
testuser3@viyom.com,Test@123,ROLE_DONOR,1,1,100,false
testuser4@viyom.com,Test@123,ROLE_DONOR,2,2,1000,false
testuser5@viyom.com,Test@123,ROLE_DONOR,3,3,300,true
testuser6@viyom.com,Test@123,ROLE_DONOR,1,1,450,false
testuser7@viyom.com,Test@123,ROLE_DONOR,2,2,200,false
testuser8@viyom.com,Test@123,ROLE_DONOR,3,3,600,true
testuser9@viyom.com,Test@123,ROLE_DONOR,1,1,150,false
testuser10@viyom.com,Test@123,ROLE_DONOR,2,2,800,false
testuser11@viyom.com,Test@123,ROLE_DONOR,3,3,350,true
testuser12@viyom.com,Test@123,ROLE_DONOR,1,1,900,false
testuser13@viyom.com,Test@123,ROLE_DONOR,2,2,125,false
testuser14@viyom.com,Test@123,ROLE_DONOR,3,3,400,true
testuser15@viyom.com,Test@123,ROLE_DONOR,1,1,275,false
testuser16@viyom.com,Test@123,ROLE_DONOR,2,2,650,false
testuser17@viyom.com,Test@123,ROLE_DONOR,3,3,500,true
testuser18@viyom.com,Test@123,ROLE_DONOR,1,1,325,false
testuser19@viyom.com,Test@123,ROLE_DONOR,2,2,175,false
testuser20@viyom.com,Test@123,ROLE_DONOR,3,3,850,true
testuser21@viyom.com,Test@123,ROLE_DONOR,1,1,225,false
testuser22@viyom.com,Test@123,ROLE_DONOR,2,2,700,false
testuser23@viyom.com,Test@123,ROLE_DONOR,3,3,450,true
testuser24@viyom.com,Test@123,ROLE_DONOR,1,1,550,false
